Middle layer Super Output Areas Code,Middle layer Super Output Areas,Welsh speaking ability (3 categories) Code,Welsh speaking ability (3 categories),Observation,Total,Totalp
W02000230,Bridgend 013,1,Can speak Welsh,590,5678,10.39098274
W02000231,Bridgend 014,1,Can speak Welsh,655,8318,7.87448906
W02000232,Bridgend 015,1,Can speak Welsh,498,5747,8.665390639
W02000233,Bridgend 016,1,Can speak Welsh,554,6208,8.923969072
W02000234,Bridgend 017,1,Can speak Welsh,1025,10640,9.633458647
W02000235,Bridgend 018,1,Can speak Welsh,769,9174,8.382385001
W02000236,Bridgend 019,1,Can speak Welsh,501,6959,7.199310246
W02000237,Vale of Glamorgan 001,1,Can speak Welsh,800,6135,13.0399348
W02000238,Vale of Glamorgan 002,1,Can speak Welsh,930,6556,14.18547895
W02000239,Vale of Glamorgan 003,1,Can speak Welsh,981,8010,12.24719101
W02000240,Vale of Glamorgan 004,1,Can speak Welsh,980,8997,10.89251973
W02000241,Vale of Glamorgan 005,1,Can speak Welsh,1273,10174,12.51228622
W02000242,Vale of Glamorgan 006,1,Can speak Welsh,918,8216,11.17332035
W02000243,Vale of Glamorgan 007,1,Can speak Welsh,978,9353,10.45653801
W02000244,Vale of Glamorgan 008,1,Can speak Welsh,1091,10162,10.73607558
W02000245,Vale of Glamorgan 009,1,Can speak Welsh,784,8278,9.470886688
W02000246,Vale of Glamorgan 010,1,Can speak Welsh,560,5301,10.56404452
W02000247,Vale of Glamorgan 011,1,Can speak Welsh,851,8679,9.805277106
W02000248,Vale of Glamorgan 012,1,Can speak Welsh,1104,10633,10.38277062
W02000249,Vale of Glamorgan 013,1,Can speak Welsh,1013,8766,11.55601186
W02000250,Vale of Glamorgan 014,1,Can speak Welsh,1162,11638,9.984533425
W02000251,Vale of Glamorgan 015,1,Can speak Welsh,1308,11039,11.84889936
W02000252,Rhondda Cynon Taf 001,1,Can speak Welsh,1200,9178,13.07474395
W02000253,Rhondda Cynon Taf 002,1,Can speak Welsh,752,6765,11.11603843
W02000254,Rhondda Cynon Taf 003,1,Can speak Welsh,887,7949,11.15863631
W02000255,Rhondda Cynon Taf 004,1,Can speak Welsh,671,6909,9.711969894
W02000256,Rhondda Cynon Taf 005,1,Can speak Welsh,855,10012,8.539752297
W02000257,Rhondda Cynon Taf 006,1,Can speak Welsh,780,7249,10.76010484
W02000258,Rhondda Cynon Taf 007,1,Can speak Welsh,724,5705,12.69062226
W02000259,Rhondda Cynon Taf 008,1,Can speak Welsh,500,5751,8.69414015
W02000260,Rhondda Cynon Taf 009,1,Can speak Welsh,504,5695,8.849868306
W02000261,Rhondda Cynon Taf 010,1,Can speak Welsh,1117,7648,14.60512552
W02000262,Rhondda Cynon Taf 011,1,Can speak Welsh,590,5300,11.13207547
W02000263,Rhondda Cynon Taf 012,1,Can speak Welsh,680,6377,10.66332131
W02000264,Rhondda Cynon Taf 013,1,Can speak Welsh,585,5729,10.21120614
W02000265,Rhondda Cynon Taf 014,1,Can speak Welsh,1088,9193,11.83509192
W02000266,Rhondda Cynon Taf 015,1,Can speak Welsh,1031,7495,13.75583722
W02000267,Rhondda Cynon Taf 016,1,Can speak Welsh,570,6337,8.994792489
W02000268,Rhondda Cynon Taf 017,1,Can speak Welsh,1109,8921,12.43134178
W02000269,Rhondda Cynon Taf 018,1,Can speak Welsh,657,8196,8.016105417
W02000270,Rhondda Cynon Taf 019,1,Can speak Welsh,852,6592,12.92475728
W02000271,Rhondda Cynon Taf 020,1,Can speak Welsh,534,5450,9.798165138
W02000272,Rhondda Cynon Taf 021,1,Can speak Welsh,1331,9920,13.41733871
W02000273,Rhondda Cynon Taf 022,1,Can speak Welsh,1041,10427,9.983696173
W02000274,Rhondda Cynon Taf 023,1,Can speak Welsh,1011,10176,9.935141509
W02000275,Rhondda Cynon Taf 024,1,Can speak Welsh,625,6053,10.32545845
W02000276,Rhondda Cynon Taf 025,1,Can speak Welsh,971,6506,14.92468491
W02000277,Rhondda Cynon Taf 026,1,Can speak Welsh,883,6942,12.71967733
W02000278,Rhondda Cynon Taf 027,1,Can speak Welsh,1700,8946,19.00290633
W02000279,Rhondda Cynon Taf 028,1,Can speak Welsh,892,7738,11.52752649
